OrgID,Name,Address Line 1,Address Line 2,Zip Code ,Location,Coordinates,Org size,Service size,Target demographic,Services Provided,Available Roles,Brief description,Link,General Contact,Internal Contact,Consent
1,Le Chic Resto Pop,,,,Mercier—Hochelaga-Maisonneuve,,small,small,,,"Cleaning, Cooking, Food preparation","The organization offers, through its socially responsible restaurant, nutritious, quality meals at low prices to meet the needs of people experiencing food insecurity. It is also a welcoming living environment, open to all, which promotes social diversity",https://www.myplacedumarche.com/le-chic-resto-pop/,,,
2,Maison de Quartier Villeray,,,,Villeray—Saint-Michel—Parc-Extension,,small,small,,,"Gardening/Harvesting, Food preparation, Cooking","Since 1989, It offers activities stimulating mutual aid and solidarity between its participants. Its goal is to support individuals while offering a collective environment that contributes to improving life conditions of citizens.",https://www.myplacedumarche.com/la-maison-de-quartier-villeray/,,,
3,Resto Plateau,,,,Le Plateau-Mont-Royal,,medium,medium,,,"Food preparation, Cooking","Non-profit organization with the goal of increasing autonomy, inclusion, and access to resources by providing essential needs such as food security for Montréal community and its surrounding.",https://www.myplacedumarche.com/resto-plateau/,,,
4,MADA Community Center,,,,Côte-des-Neiges—Notre-Dame-de-Grâce,,large,large,,,"Delivering, Food serving, Warehouse",Volunteer-based organization that evolved from a small neighbourhood centre to Montreal’s central address for fighting poverty in our community,https://www.myplacedumarche.com/mada-community-center/,,,
5,Mile End Mission,,,,Rosemont—La Petite-Patrie,,medium,medium,,,"Food preparation, Cooking, Packing & Sorting, Warehouse","Volunteer-run, not-for-profit organization and community centre working with members of the community who have been marginalized by society for a variety of reasons. ",https://www.myplacedumarche.com/mile-end-community-mission/,,,
6,Sun Youth Organization,,,,Rosemont—La Petite-Patrie,,medium,medium,,,"Delivery, Administration, Education, Packing & Sorting","We have been taking care of people for more than 65 years by providing individuals and families in need, a wide range of emergency services that ensure their basic needs are covered and maintain their integrity.",https://www.myplacedumarche.com/sun-youth-organization/,,,
7,Cuisine et Vie Collective St Roch,,,,Villeray—Saint-Michel—Parc-Extension,,small,small,,,"Food preparation, Cooking, Food serving",Non-profit organization that aims to give a better life quality and support for people and families of the Parc-Extension neighbourhood.,https://www.myplacedumarche.com/cuisine-et-vie-collective-saint-roch/,,,
8,Partageons L'espoir,,,,Le Sud-Ouest,,large,large,,,"Food preparation, Delivery, Packing & Sorting","Our mission is to awaken hopes and dreams in the community through programs that fosters the overall development and success of youth, increases access to food security and health for all and offers work training programs.",https://www.myplacedumarche.com/partageons-lespoir/,,,
9,West Island Mission,,,,Pierrefonds-Roxboro,,medium,medium,,,"Packing & Sorting, Warehouse, Delivery, Gardening/Harvesting","West Island Mission is a non-profit organization that provides well-balanced, high quality food assistance and other related aid to the less fortunate living in the West Island of Montreal. We offer three programs: monthly food assistance, Christmas food baskets and back-to-school support.",https://www.myplacedumarche.com/west-island-mission/,,,
10,Centre de Ressource et D'action Communautaire Petite Patrie,,,,Rosemont—La Petite-Patrie,,medium,large,,,Professional/Skills development,"Non-profit organization that fight against poverty. Through activities in food security and and against waste, it improves life conditions of its members and defend their fundamental rights.",https://www.myplacedumarche.com/centre-de-ressources-et-daction-communautaire-de-la-petite-patrie/,,,
11,Le PAS de la Rue,,,,Ville-Marie,,medium,medium,,,"Administration, Cooking, Food preparation, Cleaning, Daycare","Le PAS de la rue is a non-profit that, for more than twenty years, helps, accompanies and supports people 55 and older who are homeless, in severe economic precariousness or in social isolation.",https://www.myplacedumarche.com/le-pas-de-la-rue/,,,
